origen,destino,num_estaciones,num_transbordos,num_troncales,distancia_km,hora_dia,dia_semana,es_hora_pico,es_fin_semana,num_portales,tiempo_minutos,categoria
Portal Suba,Heroes,10,0,1,10.043,22,0,0,0,1,18.84,Rapido
Gobernacion,Molinos,23,5,4,16.035,17,2,1,0,0,76.82,Lento
San Victorino,Cardio Infantil,17,5,3,15.304,16,4,0,0,0,31.21,Medio
Portal Americas,San Facade,10,0,1,7.337,13,6,0,1,1,18.08,Rapido
Calle 22,Calle 34,3,0,1,1.35,8,3,1,0,0,5.14,Rapido
San Victorino,Molinos,19,3,4,10.375,9,1,0,0,0,59.39,Lento
Av Chile,Av Cali Calle 80,8,1,2,3.062,9,5,0,1,0,14.79,Rapido
Portal El Dorado,Calle 45,11,1,2,6.122,21,1,0,0,1,18.77,Rapido
Calle 63,Nariño,9,3,3,7.774,14,4,0,0,0,15.27,Rapido
Ricaurte,Portal Usme,17,2,3,12.245,23,2,0,0,1,52.27,Lento
Marly,Calle 19,5,0,1,2.465,18,4,1,0,0,10.0,Rapido
Yomasa,Av 68,23,5,4,15.318,20,2,1,0,0,89.35,Lento
Simon Bolivar,Shaio,9,2,3,5.48,12,5,0,1,0,16.33,Rapido
Restrepo,Yomasa,10,1,2,6.128,17,1,1,0,0,44.48,Medio
Shaio,Calle 19,9,3,3,9.905,11,0,0,0,0,16.55,Rapido
Olaya,Consuelo,11,1,2,6.071,18,4,1,0,0,61.71,Lento
CAN,Calle 38A Sur,19,5,4,14.008,21,1,0,0,0,41.86,Medio
Portal Sur,Restrepo,6,0,1,3.924,17,2,1,0,1,18.33,Rapido
Ricaurte,Marsella,4,0,1,3.789,22,2,0,0,0,6.55,Rapido
Gobernacion,Toberin,14,3,3,10.826,20,1,1,0,0,39.3,Medio
Humedal Cordoba,El Dorado,14,2,3,6.22,14,6,0,1,0,20.83,Rapido
Portal Usme,Las Aguas,21,3,4,10.769,20,2,1,0,1,103.14,Lento
Gratamira,Heroes,6,0,1,6.459,8,4,1,0,0,15.68,Rapido
Nariño,Minuto de Dios,11,2,3,12.046,9,2,0,0,0,24.62,Rapido
Calle 106,Minuto de Dios,7,4,4,5.551,19,5,1,1,0,17.85,Rapido
Centro Memoria,Ricaurte,4,1,2,1.005,13,4,0,0,0,5.46,Rapido
Toberin,Socorro,30,6,5,25.148,12,1,0,0,0,68.32,Lento
El Dorado,Escuela Militar,12,3,4,4.131,6,0,1,0,0,34.12,Medio
Calle 142,Calle 38A Sur,26,6,5,21.644,5,4,0,0,0,53.23,Lento
Portal Suba,Portal Sur,26,4,4,22.677,11,6,0,1,2,43.81,Medio
CAN,Calle 127,9,3,3,5.661,23,1,0,0,0,15.9,Rapido
Av Cali Calle 80,Calle 72,8,3,3,4.95,18,6,1,1,0,18.91,Rapido
Nariño,Pradera,5,2,3,7.272,10,5,0,1,0,9.47,Rapido
Av Cali Calle 80,Alcala,13,4,4,5.389,14,4,0,0,0,31.68,Medio
Marly,Heroes,6,0,1,3.038,19,5,1,1,0,10.8,Rapido
Calle 38A Sur,Prado,22,5,6,20.075,19,2,1,0,0,66.25,Lento
Calle 63,Portal El Dorado,9,0,1,5.95,13,5,0,1,1,15.53,Rapido
Hospitales,Santa Lucia,9,1,2,6.186,11,1,0,0,0,22.36,Rapido
Normandia,Pepe Sierra,11,3,3,5.87,21,2,0,0,0,18.61,Rapido
Calle 85,Calle 38A Sur,20,4,4,15.567,20,2,1,0,0,60.63,Lento
NQS Calle 38A Sur,Ferias,10,1,2,10.554,19,6,1,1,0,23.81,Rapido
Simon Bolivar,Shaio,9,2,3,5.48,5,2,0,0,0,18.57,Rapido
CAN,Calle 22,5,2,2,4.985,19,2,1,0,0,11.36,Rapido
La Campiña,Calle 22,13,2,3,13.96,14,2,0,0,0,24.88,Rapido
Calle 38A Sur,Portal Sur,3,0,1,1.053,9,3,0,0,1,9.72,Rapido
Patio Bonito,San Facade,9,0,1,6.617,20,6,1,1,0,20.28,Rapido
De La Sabana,Flores,9,2,3,2.041,7,4,1,0,0,21.44,Rapido
Calle 100 Suba,Santa Lucia,20,5,5,17.367,8,0,1,0,0,67.0,Lento
Centro Memoria,Shaio,11,3,3,9.458,22,1,0,0,0,18.02,Rapido
Portal 80,Calle 19,8,4,4,9.263,11,5,0,1,1,13.53,Rapido
Profamilia,Portal Americas,16,1,2,7.834,6,3,1,0,1,38.16,Medio
Santa Lucia,CAN,18,5,4,13.558,22,3,0,0,0,34.56,Medio
Aurora,Nariño,12,1,2,7.272,13,6,0,1,0,27.59,Medio
Calle 100 Suba,Av Chile,6,2,3,2.223,18,2,1,0,0,18.37,Rapido
CAN,Calle 100,6,2,3,3.641,20,0,1,0,0,12.68,Rapido
Calle 38A Sur,Patio Bonito,18,3,4,12.172,16,3,0,0,0,46.66,Medio
Museo Nacional,Calle 106,9,4,3,7.993,22,1,0,0,0,14.34,Rapido
Calle 72,Ricaurte,10,3,3,4.989,17,4,1,0,0,22.19,Rapido
21 Angeles,Aurora,28,5,5,22.543,14,3,0,0,0,73.04,Lento
Ricaurte,Museo Nacional,5,1,2,1.116,12,1,0,0,0,6.74,Rapido
Cardio Infantil,Calle 19,15,4,3,14.499,6,6,1,1,0,33.62,Medio
Aurora,Ferias,21,3,4,18.434,11,0,0,0,0,53.59,Lento
Suba TV 91,Biblioteca Tintal,20,3,4,11.134,12,5,0,1,0,36.66,Medio
Salitre El Greco,De La Sabana,13,4,3,3.048,6,1,1,0,0,30.46,Medio
Shaio,Las Aguas,12,4,3,10.998,23,4,0,0,0,22.33,Rapido
Ferias,Humedal Cordoba,8,3,3,3.086,9,5,0,1,0,15.97,Rapido
Gratamira,CAN,10,2,3,6.336,22,4,0,0,0,19.36,Rapido
Yomasa,Pepe Sierra,22,5,6,19.767,22,3,0,0,0,49.72,Medio
Museo Nacional,Restrepo,6,1,2,4.637,15,5,0,1,0,7.74,Rapido
Museo Nacional,Calle 85,8,2,2,5.967,22,3,0,0,0,11.01,Rapido
Calle 40 Sur,Portal Norte,24,4,5,23.19,6,4,1,0,1,69.81,Lento
Restrepo,Calle 38A Sur,8,1,2,4.964,17,1,1,0,0,27.1,Medio
Calle 106,Portal Americas,17,4,5,11.123,16,0,0,0,1,40.67,Medio
Biblioteca Tintal,Granja,16,2,3,6.37,17,5,1,1,0,41.17,Medio
Calle 100 Suba,Cardio Infantil,10,1,2,5.908,23,5,0,1,0,15.52,Rapido
Consuelo,Marly,22,2,3,13.28,14,0,0,0,0,54.59,Lento
Calle 22,Portal Sur,13,1,2,8.23,12,5,0,1,1,21.42,Rapido
Ferias,San Facade,13,6,5,8.723,15,6,0,1,0,19.35,Rapido
Modelia,La Campiña,17,2,3,8.559,13,2,0,0,0,33.87,Medio
Calle 142,Portal Suba,15,1,2,5.212,15,1,0,0,1,29.75,Medio
Santa Lucia,El Dorado,23,5,4,14.172,9,0,0,0,0,51.31,Lento
Simon Bolivar,Patio Bonito,9,1,2,6.986,14,1,0,0,0,17.34,Rapido
Santa Lucia,Flores,15,3,4,12.281,20,4,1,0,0,47.65,Medio
General Santander,Portal Usme,10,1,2,4.846,20,3,1,0,1,62.64,Lento
Calle 63 NQS,Calle 38A Sur,13,2,3,14.293,22,3,0,0,0,30.77,Medio
CAN,Restrepo,12,4,3,9.103,6,6,1,1,0,26.42,Medio
Biblioteca Tintal,21 Angeles,19,3,4,10.436,18,1,1,0,0,58.97,Lento
Calle 45,Alcala,11,2,2,8.796,11,4,0,0,0,19.41,Rapido
Toberin,Portal Sur,27,5,4,23.522,20,0,1,0,1,66.9,Lento
Alcala,Aurora,28,6,5,22.379,21,5,0,1,0,60.0,Lento
Aurora,Prado,25,5,6,21.595,18,6,1,1,0,80.22,Lento
Calle 142,Restrepo,19,5,4,16.68,9,1,0,0,0,34.89,Medio
Modelia,Granja,14,4,4,3.015,17,0,1,0,0,38.23,Medio
Santa Lucia,Flores,15,3,4,12.281,12,2,0,0,0,35.56,Medio
Av Cali Calle 80,Calle 127,11,4,4,4.529,17,3,1,0,0,32.59,Medio
Alcala,Calle 63 NQS,11,3,4,6.669,7,3,1,0,0,35.38,Medio
Marly,Santa Lucia,17,2,3,10.941,8,4,1,0,0,50.36,Lento
Santa Lucia,Portal Suba,25,4,5,23.22,13,0,0,0,1,65.0,Lento
Gratamira,Salitre El Greco,11,2,3,6.22,23,5,0,1,0,16.86,Rapido
Las Aguas,Aurora,18,3,4,9.319,11,4,0,0,0,50.05,Lento
Nariño,Calle 100 Suba,11,3,4,12.107,14,1,0,0,0,25.62,Medio
NQS Calle 38A Sur,Salitre El Greco,12,5,4,7.446,15,3,0,0,0,21.54,Rapido
Calle 106,Prado,4,0,1,2.482,16,0,0,0,0,6.46,Rapido
Calle 100 Suba,Marsella,12,3,4,5.909,17,6,1,1,0,29.19,Medio
Portal Americas,Portal Usme,25,3,4,14.322,12,2,0,0,2,80.48,Lento
Calle 85,Simon Bolivar,7,2,3,2.383,17,0,1,0,0,20.06,Rapido
Flores,Calle 100 Suba,6,1,2,5.275,7,2,1,0,0,13.4,Rapido
Calle 45,NQS Calle 38A Sur,11,2,3,5.136,15,2,0,0,0,16.01,Rapido
La Campiña,Portal 80,11,2,3,5.026,16,6,0,1,1,17.15,Rapido
Calle 85,Polo,3,1,2,2.999,19,4,1,0,0,6.98,Rapido
Av 68,Calle 127,11,3,3,6.085,16,4,0,0,0,20.07,Rapido
Mandalay,NQS Calle 38A Sur,8,1,2,7.071,5,2,0,0,0,15.72,Rapido
San Victorino,Flores,5,2,2,4.635,23,4,0,0,0,6.87,Rapido
Calle 38A Sur,Granja,20,3,4,17.506,14,2,0,0,0,46.67,Medio
Polo,Gratamira,7,1,2,3.108,18,2,1,0,0,18.21,Rapido
General Santander,Flores,13,2,3,10.912,20,4,1,0,0,34.21,Medio
Calle 38A Sur,Humedal Cordoba,21,4,5,19.441,5,3,0,0,0,47.23,Medio
Marly,Portal 80,8,2,3,6.969,15,3,0,0,1,16.44,Rapido
Suba TV 91,Calle 38A Sur,26,5,5,21.979,14,2,0,0,0,60.09,Lento
Portal Sur,Las Aguas,13,2,3,6.752,10,3,0,0,1,26.47,Medio
Portal Usme,Shaio,26,4,5,21.538,12,2,0,0,1,88.29,Lento
Nariño,Molinos,14,1,2,8.009,8,4,1,0,0,69.29,Lento
Calle 85,San Facade,11,3,3,6.973,5,5,0,1,0,15.39,Rapido
Portal 80,Hospitales,12,5,5,11.376,7,6,1,1,1,27.73,Medio
Pradera,Calle 38A Sur,13,3,4,12.777,14,1,0,0,0,29.86,Medio
Pepe Sierra,Museo Nacional,10,4,3,9.006,7,3,1,0,0,27.76,Medio
Normandia,Ricaurte,14,4,3,5.548,21,6,0,1,0,19.21,Rapido
Molinos,Ricaurte,16,2,3,11.546,7,0,1,0,0,81.21,Lento
Modelia,Calle 63 NQS,13,3,4,3.559,6,4,1,0,0,40.52,Medio
Normandia,Marly,9,1,2,4.67,18,0,1,0,0,18.67,Rapido
Profamilia,Quiroga,11,1,2,6.553,22,4,0,0,0,16.39,Rapido
Mundo Aventura,Nariño,7,2,3,7.347,19,6,1,1,0,16.18,Rapido
Calle 45,Minuto de Dios,9,3,3,7.007,5,3,0,0,0,14.95,Rapido
Calle 106,Calle 19,8,4,3,8.659,9,2,0,0,0,13.86,Rapido
Consuelo,Quiroga,10,1,2,5.291,20,2,1,0,0,51.03,Lento
Portal Americas,Las Aguas,15,2,3,7.958,7,2,1,0,1,37.87,Medio
Aurora,Marsella,17,3,4,14.008,8,5,1,1,0,70.23,Lento
Flores,Quiroga,11,2,3,9.343,10,4,0,0,0,18.68,Rapido
Portal Norte,Escuela Militar,14,3,4,9.7,17,5,1,1,1,34.84,Medio
Polo,Nariño,12,4,4,11.557,5,5,0,1,0,16.94,Rapido
Socorro,Pepe Sierra,21,5,6,19.191,17,0,1,0,0,75.9,Lento
Calle 100,Shaio,3,0,1,2.673,8,6,1,1,0,5.17,Rapido
Mandalay,Centro Memoria,9,1,2,5.617,19,0,1,0,0,23.2,Rapido
Restrepo,Las Aguas,8,2,3,2.83,17,4,1,0,0,16.68,Rapido
Modelia,Portal El Dorado,3,0,1,1.57,10,6,0,1,1,3.97,Rapido
Toberin,Socorro,30,6,5,25.148,7,5,1,1,0,73.04,Lento
La Campiña,Calle 19,14,3,3,14.279,10,2,0,0,0,27.98,Medio
Patio Bonito,Suba TV 91,21,3,4,11.879,9,4,0,0,0,43.54,Medio
Ricaurte,Calle 72,8,2,3,4.989,22,1,0,0,0,14.8,Rapido
Las Aguas,Portal Americas,15,2,3,7.958,6,6,1,1,1,29.03,Medio
Calle 38A Sur,Cardio Infantil,26,5,6,23.431,17,4,1,0,0,86.13,Lento
Portal Usme,Patio Bonito,24,3,4,14.379,19,3,1,0,1,101.16,Lento
El Dorado,Hospitales,15,4,3,8.687,6,2,1,0,0,35.0,Medio
Portal El Dorado,Santa Lucia,24,5,4,14.243,20,4,1,0,1,71.69,Lento
Granja,Salitre El Greco,11,4,4,3.827,16,4,0,0,0,21.88,Rapido
Portal 80,Salitre El Greco,8,3,4,3.781,11,3,0,0,1,15.75,Rapido
Flores,Humedal Cordoba,8,1,2,7.032,6,3,1,0,0,19.68,Rapido
Calle 127,Portal 80,7,3,4,3.616,8,6,1,1,1,17.09,Rapido
Socorro,Minuto de Dios,20,3,4,17.898,18,1,1,0,0,78.01,Lento
Consuelo,CAN,23,5,4,15.833,23,2,0,0,0,58.07,Lento
Calle 63 NQS,Mandalay,8,1,2,5.264,14,2,0,0,0,18.33,Rapido
Profamilia,Calle 142,15,2,2,11.697,9,6,0,1,0,25.07,Medio
Gratamira,Calle 34,12,1,2,10.0,9,1,0,0,0,20.3,Rapido
Flores,Nariño,8,2,3,6.989,20,1,1,0,0,17.82,Rapido
Patio Bonito,Museo Nacional,12,1,2,6.973,19,0,1,0,0,34.37,Medio
Calle 127,Normandia,12,3,3,6.438,21,5,0,1,0,19.75,Rapido
Mundo Aventura,Portal El Dorado,21,4,3,2.342,20,2,1,0,1,61.1,Lento
Calle 127,Portal El Dorado,15,3,3,8.467,16,6,0,1,1,22.77,Rapido
De La Sabana,Pepe Sierra,11,4,5,7.635,11,3,0,0,0,25.02,Medio
Marsella,San Facade,5,0,1,4.683,23,1,0,0,0,7.93,Rapido
Marsella,Biblioteca Tintal,4,0,1,2.949,6,0,1,0,0,9.85,Rapido
Aurora,Calle 22,18,2,3,10.8,10,3,0,0,0,52.73,Lento
Pepe Sierra,Centro Memoria,11,4,3,9.243,9,5,0,1,0,18.51,Rapido
Gratamira,Calle 127,8,1,2,3.28,16,2,0,0,0,14.82,Rapido
Calle 63 NQS,Biblioteca Tintal,9,1,2,6.257,17,5,1,1,0,23.05,Rapido
Escuela Militar,Pepe Sierra,6,3,4,3.13,7,5,1,1,0,13.72,Rapido
Calle 100 Suba,Calle 34,9,1,2,7.347,23,1,0,0,0,14.26,Rapido
Alcala,Marsella,16,4,5,9.425,8,6,1,1,0,36.28,Medio
Calle 100 Suba,Escuela Militar,5,2,3,1.489,17,0,1,0,0,14.45,Rapido
Las Aguas,Mundo Aventura,11,2,3,5.912,14,1,0,0,0,21.16,Rapido
Calle 38A Sur,Calle 40 Sur,5,1,2,2.613,7,4,1,0,0,20.94,Rapido
Calle 63 NQS,Portal 80,5,0,1,3.979,16,5,0,1,1,8.73,Rapido
Olaya,Toberin,21,4,5,20.384,19,6,1,1,0,49.79,Medio
Calle 38A Sur,Calle 22,15,2,3,9.274,23,5,0,1,0,28.95,Medio
Las Aguas,Calle 38A Sur,15,3,4,7.794,12,2,0,0,0,34.15,Medio
Suba TV 91,Tercer Milenio,16,3,3,14.723,14,6,0,1,0,23.4,Rapido
Humedal Cordoba,Consuelo,27,5,5,21.254,21,4,0,0,0,67.42,Lento
Hospitales,Biblioteca Tintal,8,1,2,7.223,12,3,0,0,0,14.98,Rapido
Suba TV 91,Calle 100 Suba,6,0,1,4.535,21,0,0,0,0,10.67,Rapido
Calle 34,NQS Calle 38A Sur,9,2,3,3.69,23,3,0,0,0,13.5,Rapido
Portal Suba,Calle 100 Suba,8,0,1,6.328,5,4,0,0,1,12.0,Rapido
Av Chile,CAN,8,3,4,1.65,17,4,1,0,0,20.72,Rapido
Patio Bonito,Pepe Sierra,17,4,5,10.975,17,0,1,0,0,54.41,Lento
Calle 45,Gratamira,10,1,2,8.599,7,2,1,0,0,24.47,Rapido
Calle 45,Ricaurte,11,1,2,2.933,15,3,0,0,0,18.39,Rapido
Calle 100,La Campiña,8,0,1,6.967,18,5,1,1,0,19.21,Rapido
Flores,Calle 127,8,2,2,6.553,18,0,1,0,0,19.74,Rapido
La Campiña,Calle 72,10,1,2,9.372,8,0,1,0,0,28.68,Medio
Calle 63,Pradera,11,3,3,2.939,16,4,0,0,0,20.53,Rapido
Gobernacion,Calle 63 NQS,8,3,4,0.496,16,1,0,0,0,16.89,Rapido
Calle 22,Av 68,7,2,2,5.524,15,6,0,1,0,10.18,Rapido
Gobernacion,Shaio,7,2,3,4.895,7,3,1,0,0,16.94,Rapido
Pradera,Santa Lucia,12,3,4,12.339,10,2,0,0,0,28.45,Medio
Shaio,Calle 19,9,3,3,9.905,12,5,0,1,0,14.13,Rapido
Alcala,Flores,10,2,2,8.121,6,3,1,0,0,26.84,Medio
Calle 72,Av Cali Calle 80,8,3,3,4.95,22,6,0,1,0,13.94,Rapido
Patio Bonito,El Dorado,23,4,3,3.91,15,1,0,0,0,47.17,Medio
Granja,Calle 100 Suba,8,3,3,3.126,23,2,0,0,0,15.61,Rapido
Biblioteca Tintal,Calle 72,14,3,4,6.989,12,6,0,1,0,22.87,Rapido
Normandia,Calle 100,9,2,3,4.819,19,6,1,1,0,18.59,Rapido
Mandalay,Calle 127,16,4,5,9.657,22,3,0,0,0,28.37,Medio
Santa Lucia,Humedal Cordoba,20,4,5,18.993,12,3,0,0,0,51.35,Lento
Centro Memoria,Salitre El Greco,9,3,2,5.093,12,1,0,0,0,14.06,Rapido
Escuela Militar,Salitre El Greco,8,3,4,2.396,16,5,0,1,0,15.4,Rapido
Marly,21 Angeles,12,1,2,10.068,17,6,1,1,0,24.53,Rapido
Consuelo,Restrepo,12,1,2,6.852,12,3,0,0,0,39.02,Medio
Calle 40 Sur,Gratamira,18,3,4,17.76,7,0,1,0,0,63.31,Lento
Quiroga,Olaya,2,0,1,0.785,16,3,0,0,0,2.05,Rapido
Calle 142,Prado,3,0,1,1.57,9,5,0,1,0,3.6,Rapido
Santa Lucia,CAN,18,5,4,13.558,18,5,1,1,0,49.76,Medio
Gobernacion,Las Aguas,8,4,2,6.106,17,5,1,1,0,17.71,Rapido
Portal Americas,Granja,18,2,3,7.883,12,0,0,0,1,40.61,Medio
Simon Bolivar,Calle 146,14,3,4,9.046,9,0,0,0,0,28.11,Medio
Olaya,Calle 22,9,1,2,5.094,22,2,0,0,0,13.27,Rapido
La Campiña,Portal Norte,18,1,2,5.59,13,6,0,1,1,25.98,Medio
Humedal Cordoba,Tercer Milenio,13,3,3,12.107,6,1,1,0,0,33.57,Medio
Calle 127,Flores,8,2,2,6.553,16,3,0,0,0,14.79,Rapido
Gobernacion,Calle 72,3,1,2,1.132,5,3,0,0,0,3.45,Rapido
San Facade,Flores,7,2,3,4.147,8,3,1,0,0,14.75,Rapido
Calle 22,Alcala,11,3,3,11.588,6,6,1,1,0,24.4,Rapido
Centro Memoria,Normandia,11,3,2,6.059,16,5,0,1,0,18.76,Rapido
Simon Bolivar,Socorro,13,2,3,13.893,13,6,0,1,0,29.47,Medio
Centro Memoria,Portal 80,10,4,4,8.817,9,0,0,0,1,21.15,Rapido
Marly,Calle 22,4,0,1,2.127,6,3,1,0,0,7.43,Rapido
Polo,Nariño,12,4,4,11.557,20,0,1,0,0,28.32,Medio
Modelia,De La Sabana,16,4,3,4.335,10,2,0,0,0,30.53,Medio
Av Cali Calle 80,Toberin,17,4,4,8.304,12,5,0,1,0,31.76,Medio
San Facade,Portal Sur,10,1,2,7.588,6,0,1,0,1,25.13,Medio
Centro Memoria,Restrepo,5,1,2,4.398,12,5,0,1,0,7.47,Rapido
Aurora,Museo Nacional,16,2,3,11.125,16,3,0,0,0,46.31,Medio
Santa Lucia,Prado,21,5,6,19.618,15,3,0,0,0,45.77,Medio
Suba TV 91,El Dorado,17,2,3,8.073,5,6,0,1,0,24.08,Rapido
Portal Suba,Restrepo,21,4,4,18.843,16,6,0,1,1,31.39,Medio
Calle 63,Calle 142,10,2,2,8.121,12,5,0,1,0,16.95,Rapido
CAN,El Dorado,6,0,1,3.568,23,6,0,1,0,8.62,Rapido
Calle 72,Ferias,5,3,3,4.647,23,2,0,0,0,10.52,Rapido
Socorro,Av 68,22,5,4,14.763,16,4,0,0,0,52.77,Lento
Cardio Infantil,Pradera,18,4,5,11.282,22,2,0,0,0,31.24,Medio
CAN,Escuela Militar,7,3,4,2.442,12,0,0,0,0,12.31,Rapido
Toberin,Centro Memoria,18,4,3,15.201,9,2,0,0,0,37.8,Medio
Mandalay,CAN,16,4,3,4.468,5,1,0,0,0,29.52,Medio
Calle 19,Restrepo,7,1,2,3.973,16,0,0,0,0,11.31,Rapido
Nariño,Socorro,10,1,2,6.335,8,2,1,0,0,35.35,Medio
Calle 63,Polo,4,1,2,4.319,20,5,1,1,0,8.13,Rapido
San Victorino,Toberin,18,5,3,16.436,16,1,0,0,0,37.49,Medio
Museo Nacional,La Campiña,15,3,3,13.632,14,1,0,0,0,25.17,Medio
Shaio,Nariño,14,4,4,12.987,23,0,0,0,0,21.29,Rapido
Toberin,El Dorado,20,3,3,12.104,23,0,0,0,0,36.88,Medio
Calle 100 Suba,Ferias,6,3,3,2.669,16,2,0,0,0,13.98,Rapido
Calle 127,Marly,10,2,2,7.893,19,0,1,0,0,22.33,Rapido
Calle 100,Minuto de Dios,6,3,3,5.449,13,6,0,1,0,9.25,Rapido
NQS Calle 38A Sur,Portal 80,9,0,1,11.208,18,1,1,0,1,31.03,Medio
Museo Nacional,Minuto de Dios,11,5,4,8.841,22,3,0,0,0,18.54,Rapido
Shaio,El Dorado,13,2,3,5.743,10,3,0,0,0,25.86,Medio
Hospitales,Aurora,13,1,2,8.164,15,2,0,0,0,40.73,Medio
Calle 63 NQS,Museo Nacional,7,2,3,4.778,10,5,0,1,0,11.58,Rapido
Calle 127,Marsella,14,4,5,8.014,20,5,1,1,0,37.01,Medio
Calle 63 NQS,Tercer Milenio,5,1,2,6.89,18,1,1,0,0,12.32,Rapido
Cardio Infantil,Olaya,22,5,4,19.252,22,5,0,1,0,36.72,Medio
Heroes,Humedal Cordoba,5,0,1,5.511,12,0,0,0,0,8.72,Rapido
Portal Usme,Calle 45,23,4,4,15.026,6,2,1,0,1,84.14,Lento
Yomasa,Suba TV 91,26,4,5,23.089,20,1,1,0,0,82.29,Lento
Hospitales,Calle 106,10,3,4,10.951,20,6,1,1,0,23.64,Rapido
Portal Suba,Portal Usme,34,5,5,26.42,13,0,0,0,2,97.09,Lento
Mundo Aventura,Museo Nacional,9,1,2,4.957,16,1,0,0,0,15.65,Rapido
Portal Norte,Gobernacion,15,3,3,12.057,12,6,0,1,1,21.36,Rapido
Calle 142,Calle 106,6,0,1,4.051,16,6,0,1,0,9.76,Rapido
Socorro,Escuela Militar,16,2,3,17.012,22,0,0,0,0,43.09,Medio
Patio Bonito,Ricaurte,8,0,1,5.933,20,4,1,0,0,23.39,Rapido
Calle 106,Nariño,13,5,4,11.844,6,4,1,0,0,32.07,Medio
Shaio,Virrey,4,1,2,3.175,9,0,0,0,0,7.04,Rapido
Calle 63 NQS,De La Sabana,4,1,2,3.204,11,1,0,0,0,6.69,Rapido
Polo,Centro Memoria,9,3,3,8.085,9,6,0,1,0,12.52,Rapido
Calle 100,Calle 127,4,0,1,2.155,17,4,1,0,0,8.65,Rapido
Gratamira,Quiroga,19,4,4,16.984,19,6,1,1,0,36.23,Medio
Socorro,Quiroga,7,1,2,3.985,18,0,1,0,0,28.53,Medio
Socorro,Simon Bolivar,13,2,3,13.893,8,0,1,0,0,47.15,Medio
Heroes,Ricaurte,11,3,3,5.236,16,3,0,0,0,18.25,Rapido
Shaio,Tercer Milenio,12,3,3,11.324,20,0,1,0,0,26.91,Medio
Virrey,Tercer Milenio,11,2,2,8.926,17,0,1,0,0,26.13,Medio
Ferias,Biblioteca Tintal,14,2,3,6.21,20,2,1,0,0,42.78,Medio
Humedal Cordoba,La Campiña,5,0,1,3.69,13,6,0,1,0,6.76,Rapido
Calle 142,Escuela Militar,10,3,4,5.73,9,2,0,0,0,22.81,Rapido
Mandalay,Granja,15,2,3,5.657,18,4,1,0,0,44.58,Medio
De La Sabana,Olaya,6,2,3,6.993,20,6,1,1,0,11.56,Rapido
CAN,Profamilia,6,3,2,4.362,10,0,0,0,0,10.48,Rapido
Calle 38A Sur,Restrepo,8,1,2,4.964,23,0,0,0,0,19.5,Rapido
Centro Memoria,CAN,8,3,2,4.855,12,0,0,0,0,14.13,Rapido
Centro Memoria,Gratamira,13,3,3,11.167,16,6,0,1,0,18.85,Rapido
Calle 22,Av 68,7,2,2,5.524,12,2,0,0,0,12.68,Rapido
Portal Suba,Socorro,29,5,5,24.207,22,2,0,0,1,62.25,Lento
Gobernacion,Calle 127,8,3,3,5.627,14,0,0,0,0,13.83,Rapido
Shaio,De La Sabana,11,3,4,7.551,12,5,0,1,0,20.25,Rapido
Olaya,Profamilia,10,1,2,5.769,5,6,0,1,0,12.91,Rapido
Alcala,Portal Suba,14,1,2,5.511,9,5,0,1,1,25.78,Medio
El Dorado,General Santander,21,4,3,12.949,14,5,0,1,0,40.83,Medio
Pepe Sierra,Museo Nacional,10,4,3,9.006,16,3,0,0,0,17.69,Rapido
Quiroga,Virrey,14,3,4,12.957,17,4,1,0,0,37.85,Medio
Mundo Aventura,San Victorino,10,2,3,5.218,14,2,0,0,0,18.89,Rapido
Marsella,Gratamira,15,3,4,7.97,15,6,0,1,0,26.42,Medio
Humedal Cordoba,Cardio Infantil,12,1,2,4.876,9,4,0,0,0,26.06,Medio
Suba TV 91,Normandia,15,2,3,7.504,15,5,0,1,0,23.42,Rapido
Pradera,Hospitales,4,1,2,6.435,13,3,0,0,0,7.34,Rapido
Simon Bolivar,Shaio,9,2,3,5.48,11,2,0,0,0,19.23,Rapido
Ricaurte,Portal Suba,16,2,3,14.403,16,4,0,0,1,32.52,Medio
San Victorino,Calle 85,9,3,2,7.458,14,0,0,0,0,15.9,Rapido
San Victorino,Calle 85,9,3,2,7.458,15,5,0,1,0,12.7,Rapido
La Campiña,Patio Bonito,22,3,4,12.576,15,2,0,0,0,45.43,Medio
Calle 22,Portal Suba,14,2,3,14.783,6,6,1,1,1,32.09,Medio
Virrey,Calle 100 Suba,3,1,2,2.203,20,1,1,0,0,6.67,Rapido
Museo Nacional,Restrepo,6,1,2,4.637,14,3,0,0,0,9.11,Rapido
Calle 38A Sur,Centro Memoria,12,2,3,9.362,15,3,0,0,0,33.26,Medio
Portal El Dorado,Calle 40 Sur,21,4,3,12.357,15,6,0,1,1,35.35,Medio
Portal Usme,Marly,24,2,3,14.364,10,2,0,0,1,69.77,Lento
Gratamira,Consuelo,28,5,5,22.12,10,4,0,0,0,76.53,Lento
Calle 127,Calle 34,11,2,2,8.668,18,5,1,1,0,23.92,Rapido
Portal Sur,NQS Calle 38A Sur,9,1,2,5.9,5,0,0,0,1,18.32,Rapido
Alcala,Mandalay,18,4,5,10.973,21,1,0,0,0,31.01,Medio
Flores,El Dorado,9,1,2,5.301,16,2,0,0,0,15.7,Rapido
Socorro,La Campiña,26,4,5,23.423,10,0,0,0,0,67.01,Lento
Hospitales,Portal El Dorado,16,4,3,8.966,21,4,0,0,1,27.1,Medio
Calle 38A Sur,Marsella,14,3,4,12.614,20,2,1,0,0,47.46,Medio
